seed,panel,weight,target_ratio,score
9,C,0.05,1.5,1.0
9,C,0.05,2.0,0.9875
9,C,0.15,1.25,1.0
9,C,0.15,1.5,1.0
9,C,0.15,2.0,0.9625
9,C,0.3,1.25,1.0
9,C,0.3,1.5,1.0
9,C,0.3,2.0,0.925
9,D,0.05,1.25,1.0
9,D,0.05,1.5,0.983333
9,D,0.05,2.0,0.9625
9,D,0.15,1.25,1.0
9,D,0.15,1.5,0.95
9,D,0.15,2.0,0.8875
9,D,0.3,1.25,1.0
9,D,0.3,1.5,0.9
9,D,0.3,2.0,0.775
9,E,0.05,1.25,1.0
9,E,0.05,1.5,1.0
9,E,0.05,2.0,1.0
9,E,0.15,1.25,1.0
9,E,0.15,1.5,1.0
9,E,0.15,2.0,1.0
9,E,0.3,1.25,1.0
9,E,0.3,1.5,1.0
9,E,0.3,2.0,1.0
9,F,0.05,1.25,1.0
9,F,0.05,1.5,1.0
9,F,0.05,2.0,0.975
9,F,0.15,1.25,1.0
9,F,0.15,1.5,1.0
9,F,0.15,2.0,0.925
9,F,0.3,1.25,1.0
9,F,0.3,1.5,1.0
9,F,0.3,2.0,0.85
10,A,0.05,1.25,0.98
10,A,0.05,1.5,0.966667
10,A,0.05,2.0,0.95
10,A,0.15,1.25,0.94
10,A,0.15,1.5,0.9
10,A,0.15,2.0,0.85
10,A,0.3,1.25,0.88
10,A,0.3,1.5,0.8
10,A,0.3,2.0,0.7
10,B,0.05,1.25,1.0
10,B,0.05,1.5,1.0
10,B,0.05,2.0,0.975
10,B,0.15,1.25,1.0
10,B,0.15,1.5,1.0
10,B,0.15,2.0,0.925
10,B,0.3,1.25,1.0
10,B,0.3,1.5,1.0
10,B,0.3,2.0,0.85
10,C,0.05,1.25,1.0
10,C,0.05,1.5,1.0
10,C,0.05,2.0,0.9875
10,C,0.15,1.25,1.0
10,C,0.15,1.5,1.0
10,C,0.15,2.0,0.9625
10,C,0.3,1.25,1.0
10,C,0.3,1.5,1.0
10,C,0.3,2.0,0.925
10,D,0.05,1.25,1.0
10,D,0.05,1.5,0.983333
10,D,0.05,2.0,0.9625
10,D,0.15,1.25,1.0
10,D,0.15,1.5,0.95
10,D,0.15,2.0,0.8875
10,D,0.3,1.25,1.0
10,D,0.3,1.5,0.9
10,D,0.3,2.0,0.775
10,E,0.05,1.25,1.0
10,E,0.05,1.5,1.0
10,E,0.05,2.0,1.0
10,E,0.15,1.25,1.0
10,E,0.15,1.5,1.0
10,E,0.15,2.0,1.0
10,E,0.3,1.25,1.0
10,E,0.3,1.5,1.0
10,E,0.3,2.0,1.0
10,F,0.05,1.25,1.0
10,F,0.05,1.5,1.0
10,F,0.05,2.0,0.975
10,F,0.15,1.25,1.0
10,F,0.15,1.5,1.0
10,F,0.15,2.0,0.925
